,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
44,BBC News (World),Amtrak Washington train crash: Investigators focus on speed https://t.co/oxhw9VcinX,Tue Dec 19 07:32:02 +0000 2017,-0.4019,0.0,0.748,0.252,56
45,BBC News (World),Trump: China and Russia rivals in 'new era of competition' https://t.co/0Wq8VH1CGJ,Tue Dec 19 07:04:56 +0000 2017,0.0,0.0,1.0,0.0,55
46,BBC News (World),RT @BBCNorthAmerica: The BBC's @BBCYaldaHakim asks US National Security Adviser HR McMaster did Russia meddle in the US 2016 presidential e…,Tue Dec 19 06:40:39 +0000 2017,0.34,0.107,0.893,0.0,54
47,BBC News (World),US sprinter's coach and agent probed https://t.co/zMD2V5oYO3,Tue Dec 19 06:20:38 +0000 2017,0.0,0.0,1.0,0.0,53
48,BBC News (World),Princess Diana childhood home in Downton aided makeover https://t.co/kcCVTEwFrw,Tue Dec 19 06:20:36 +0000 2017,0.0,0.0,1.0,0.0,52
49,BBC News (World),Jonghyun: Note posted online shows struggle with depression https://t.co/0DZX2dUY9C,Tue Dec 19 05:58:19 +0000 2017,-0.7184,0.0,0.538,0.462,51
50,BBC News (World),"RT @BBCYaldaHakim: .@realDonaldTrump's top security advisor HR McMaster weighs in on N Korea's nuclear threat, Russia's meddling and Trump'…",Tue Dec 19 05:26:59 +0000 2017,-0.0516,0.186,0.664,0.15,50
51,BBC News (World),"RT @BBCNorthAmerica: A day after @realDonaldTrump unveils his security strategy, HR McMaster tells @BBCYaldaHakim that the US must be prepa…",Tue Dec 19 05:20:07 +0000 2017,0.34,0.118,0.882,0.0,49
52,BBC News (World),"HR McMaster weighs in on N Korea's nuclear threat, Russia's meddling and Trump's tweets https://t.co/i5ahIEN5iH",Tue Dec 19 05:19:24 +0000 2017,-0.5267,0.0,0.793,0.207,48
53,BBC News (World),From foes to allies https://t.co/7ef4jWgp7h,Tue Dec 19 05:07:00 +0000 2017,-0.4588,0.0,0.571,0.429,47
54,BBC News (World),Australia police Periscope 'plans to arrest N Korean agent' https://t.co/GDtCOTds5Z,Tue Dec 19 04:36:48 +0000 2017,-0.34,0.0,0.769,0.231,46
55,BBC News (World),Hua Yong: Chinese artist freed in time for daughter's birthday https://t.co/vPIhN8Mymr,Tue Dec 19 04:26:45 +0000 2017,0.4019,0.213,0.787,0.0,45
56,BBC News (World),Cyber-Attack: US blames North Korea for WannaCry https://t.co/7AYHOs6eSE,Tue Dec 19 02:49:18 +0000 2017,-0.4019,0.0,0.722,0.278,44
57,BBC News (World),Clashes as Argentina congress debates pensions https://t.co/qmnFGXNI5P,Tue Dec 19 02:22:03 +0000 2017,0.0,0.0,1.0,0.0,43
58,BBC News (World),The 'snow window' painter who makes Christmas magical https://t.co/3NyG3PbsuS,Tue Dec 19 01:22:58 +0000 2017,0.0,0.0,1.0,0.0,42
59,BBC News (World),Memories of a struggle https://t.co/bKfN2iuk84,Tue Dec 19 01:05:22 +0000 2017,-0.3182,0.0,0.566,0.434,41
60,BBC News (World),Muslim Catalans https://t.co/2HWDCHYl2J,Tue Dec 19 00:55:03 +0000 2017,0.0,0.0,1.0,0.0,40
61,BBC News (World),Diplomatic anomaly https://t.co/FnsTWEyZRE,Tue Dec 19 00:55:02 +0000 2017,0.0,0.0,1.0,0.0,39
62,BBC News (World),"UFO spotted by US fighter jet pilots, new footage reveals https://t.co/jTcEeTaQSx",Tue Dec 19 00:34:11 +0000 2017,0.1531,0.138,0.862,0.0,38
63,BBC News (World),A voice for a dollar https://t.co/Opgb6IhIVE,Tue Dec 19 00:23:45 +0000 2017,0.0,0.0,1.0,0.0,37
64,BBC News (World),Sarah Palin's son charged with domestic assault of father https://t.co/rEe73Sott6,Mon Dec 18 23:52:26 +0000 2017,-0.6808,0.0,0.588,0.412,36
65,BBC News (World),Austrians protest as far-right joins coalition https://t.co/sTdj8ZXAaU,Mon Dec 18 23:05:48 +0000 2017,-0.25,0.0,0.75,0.25,35
66,BBC News (World),'Machines own you' https://t.co/lLpTAsfwSv,Mon Dec 18 22:54:46 +0000 2017,0.0,0.0,1.0,0.0,34
67,BBC News (World),RT @BabitaBBC: Coming up on Newsday on @BBCWorld 23GMT/07SGT https://t.co/yP6QV6IB5N,Mon Dec 18 22:51:13 +0000 2017,0.0,0.0,1.0,0.0,33
